source,target,value
"Energy, Science, Space, and Technology",Acquisition of Assets,1518464041
International Affairs,Travel and Transportation,1431881018
Veterans Benefits and Services,Travel and Transportation,1384136759
Administration of Justice,Travel and Transportation,1261498879
Administration of Justice,Insurance Claims and Indemnities,1223374486
Social Security,"Rent, Communications, and Utilities",1207523912
Health,"Rent, Communications, and Utilities",1197670411
Natural Resources and Environment,Travel and Transportation,1196918828
International Affairs,Printing and Supplies,1119394270
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",1032862501
Transportation,Travel and Transportation,1026692500
"Regional Development, Commerce, and Housing",Printing and Supplies,994796645.7
Agriculture,Printing and Supplies,974788119.1
Agriculture,Acquisition of Assets,914646383.8
"Regional Development, Commerce, and Housing",Travel and Transportation,859621475.8
Health,Acquisition of Assets,845351302
Agriculture,"Rent, Communications, and Utilities",792540593.2
Social Security,"Grants, Subsidies, and Contributions",773378125.1
Agriculture,Travel and Transportation,609889484.2
Health,Travel and Transportation,590265752.9
Income Security,Interest and Dividends,550793707.7
National Defense,Refunds,503631293
"Education, Training, Employment, and Social Services",Other,470634408.9
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",434157985.5
Income Security,Refunds,411673589.9
Administration of Justice,Other,399998927.9
Social Security,Acquisition of Assets,378440252.3
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",300640848.1
Income Security,"Rent, Communications, and Utilities",229843703.3
"Energy, Science, Space, and Technology",Printing and Supplies,229304113.7
"Energy, Science, Space, and Technology",Interest and Dividends,209982200.5
Income Security,Acquisition of Assets,195634660.8
"Education, Training, Employment, and Social Services",Acquisition of Assets,177602095.5
Medicare,Personnel Compensation and Benefits,109278468.8
Natural Resources and Environment,Insurance Claims and Indemnities,90314915.2
Health,Refunds,88751359.44
Income Security,Travel and Transportation,75852301.81
Social Security,Printing and Supplies,70084308.63
"Education, Training, Employment, and Social Services",Travel and Transportation,50014968.96
International Affairs,Refunds,46565635.63
Transportation,Insurance Claims and Indemnities,43814282.64
