"recipient","agency","subagency","obligation"
"22ND CENTURY TECHNOLOGIES INC","Environmental Protection Agency","Environmental Protection Agency",3474496
"23ANDME INC","Department of Veterans Affairs","Department of Veterans Affairs",314438870.24
"247 ENTERPRISES LLC","Department of Defense","Department of the Air Force",1220895.72
"24X7SYSTEMS INC","Department of Health and Human Services","Centers for Disease Control and Prevention",1809977.28
"24X7SYSTEMS INC","Department of Homeland Security","U.S. Customs and Border Protection",5281452
"2D3 INC","Department of Defense","Department of the Navy",43685222162.16
"2H&V CONSTRUCTION SERVICES LLC","Department of Veterans Affairs","Department of Veterans Affairs",3861066.99
"2IS INC","Department of Defense","Defense Logistics Agency",2273428.6
"2M RESEARCH SERVICES LLC","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",3861797.46
"2M RESEARCH SERVICES LLC","Department of Agriculture","Food and Nutrition Service",2824894.52
"2M RESEARCH SERVICES LLC","Department of Health and Human Services","Centers for Disease Control and Prevention",1355973.84
"2M RESEARCH SERVICES LLC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",7323484.63
"2M RESEARCH SERVICES LLC","National Science Foundation","National Science Foundation",3768025.28
"2NDWAVE LLC","Department of Housing and Urban Development","Department of Housing and Urban Development",2843717.32
"3 C SRL SISTEMI & TECNOLOGIE","Department of Defense","Department of the Army",1558499.88
"3-0 CONSTRUCTION SE","Department of Defense","Department of the Navy",5021386.79
"3-C INSTITUTE FOR SOCIAL DEVELOPMENT INC","Department of Education","Department of Education",180410594.89
"347 CONSTRUCTION GROUP","Department of Veterans Affairs","Department of Veterans Affairs",7247206
"360 IT INTEGRATED SOLUTIONS","Department of Homeland Security","U.S. Citizenship and Immigration Services",17189224.16
"360 IT INTEGRATED SOLUTIONS","Department of Homeland Security","U.S. Customs and Border Protection",6677983.95
"360 IT INTEGRATED SOLUTIONS","Department of Homeland Security","U.S. Immigration and Customs Enforcement",10104429.58
"360 NETWORKS USA INC","Department of Health and Human Services","National Institutes of Health",3027762
"360 PATRIOT ENTERPRISES","Department of Defense","Department of the Army",18472845.75
"360 PATRIOT ENTERPRISES","Department of Defense","Washington Headquarters Services",3705869.82
"360 TENTS LLC","Department of Defense","Department of the Army",43641573.92
"3B DENTAL LABORATORY L L C","Department of Veterans Affairs","Department of Veterans Affairs",1867320
"3BS FORESTRY INCORPORATED","Department of Agriculture","Forest Service",1931897.74
"3D ENVIROLOGICS LLC","Department of Health and Human Services","National Institutes of Health",14297896.92
"3D IMAGING DRUG DESIGN AND DEVELOPMENT","Department of Health and Human Services","Food and Drug Administration",1687000
"3D RESEARCH CORPORATION","Department of Defense","Department of the Army",15581448.39
"3D SYSTEMS INC","Department of Defense","Department of the Army",1817836.01
"3DI TECHNOLOGIES LLC","Department of Defense","Department of the Army",8653475012.8
"3DSIM LLC","Department of Defense","Department of the Navy",1024980
"3E CONSULTANTS INC","Department of Defense","Department of the Navy",2619313.8
"3E TECHNOLOGIES INTERNATIONAL INC","Department of Defense","Department of the Air Force",18172633.66
"3E TECHNOLOGIES INTERNATIONAL INC","Department of Defense","Department of the Army",32344661.19
"3E TECHNOLOGIES INTERNATIONAL INC","Department of Defense","Department of the Navy",369002904.85
"3H TECHNOLOGY FEDERAL CORP","Department of Defense","Department of the Navy",34634423.48
"3LINKS TECHNOLOGIES INC","Agency for International Development","Agency for International Development",2602596.12
"3LINKS TECHNOLOGIES INC","Department of Defense","Department of the Army",3242964.88
"3LINKS TECHNOLOGIES INC","Department of Defense","Washington Headquarters Services",1167582.03
"3LINKS TECHNOLOGIES INC","Nuclear Regulatory Commission","Nuclear Regulatory Commission",23414654.72
"3M COGENT INC","Department of Defense","Department of the Army",123769889.4
"3M COGENT INC","Department of Defense","Department of the Navy",22036730
"3M COGENT INC","Department of State","Department of State",1573743.08
"3M COGENT INC","Department of Veterans Affairs","Department of Veterans Affairs",1721977.05
"3M COMPANY","Department of Defense","Defense Health Agency",7177857.78
"3M COMPANY","Department of Defense","Defense Logistics Agency",680768694.04
"3M COMPANY","Department of Defense","Department of the Navy",1509871
"3M COMPANY","Department of Health and Human Services","Centers for Medicare and Medicaid Services",4019234
"3M COMPANY","Department of Health and Human Services","Indian Health Service",3969790.77
"3PSC LLC","Department of Defense","Department of the Navy",1176990494.67
"3T FEDERAL SOLUTIONS LLC","Department of Defense","Defense Logistics Agency",2820069.82
"3T FEDERAL SOLUTIONS LLC","Department of Defense","Department of the Army",3184580.84
"3T FEDERAL SOLUTIONS LLC","Department of Veterans Affairs","Department of Veterans Affairs",6940755.4
"3T INTERNATIONAL INC","General Services Administration","Public Buildings Service",51066618.18
"3T-INNOVATIONS LLC","Department of Defense","Department of the Air Force",1063440.76
"3VESTA LLC","Department of Defense","Department of the Army",6784593.99
"3VESTA LLC","Department of Homeland Security","U.S. Citizenship and Immigration Services",1966340.52
"4 C OVERHEAD DOORS","Department of Defense","Department of the Army",2547971.37
"4 D TECHNOLOGY CORPORATION","National Aeronautics and Space Administration","National Aeronautics and Space Administration",645579075.16
"4 D TECHNOLOGY CORPORATION","Smithsonian Institution","Smithsonian Institution",6010399.3
"4 H CONSTRUCTION CORPORATION","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3169000
"4 STAR TECHNOLOGIES INC","Department of Agriculture","Office of the Chief Information Officer",1072072.47
"4 STAR TECHNOLOGIES INC","Department of Commerce","National Oceanic and Atmospheric Administration",4516605.26
"4 STAR TECHNOLOGIES INC","Department of Defense","Defense Information Systems Agency",2297116.34
"4 STAR TECHNOLOGIES INC","Department of Defense","Defense Logistics Agency",1181600.96
"4 STAR TECHNOLOGIES INC","Department of Defense","Department of the Navy",5741574.29
