"recipient","agency","subagency","obligation"
"ASTRIX SOFTWARE TECHNOLOGY INC","Department of Homeland Security","Office of Health Affairs",11154229.48
"ASTRO MACHINE WORKS INC","Department of Defense","Department of Defense",5342193
"ASTRO MANUFACTURING & DESIGN INC","Department of Defense","Department of the Navy",1784009.45
"ASTROCOM ELECTRONICS INC","Department of Defense","Defense Logistics Agency",2255902.91
"ASTRONAUTICS CORPORATION OF AMERICA","Department of Defense","Defense Logistics Agency",3990205.55
"ASTRONAUTICS CORPORATION OF AMERICA","Department of Defense","Department of the Air Force",8395315.55
"ASTRONAUTICS CORPORATION OF AMERICA","Department of Defense","Department of the Navy",3602992.1
"ASTRONICS ADVANCED ELECTRONIC SYSTEMS CORP","Department of Defense","Defense Logistics Agency",3311120.67
"ASTRONICS ADVANCED ELECTRONIC SYSTEMS CORP","Department of Defense","Department of the Air Force",10907281.37
"ASTRONICS DME LLC","Department of Defense","Department of the Navy",62429627.13
"ASTRONICS DME LLC","Department of Transportation","Federal Aviation Administration",7320307.2
"ASTROPHYSICS INC","Department of Homeland Security","U.S. Customs and Border Protection",3053456.58
"ASTROTECH SPACE OPERATIONS INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",21608480.24
"ASTURIAN GROUP INC","Department of Defense","Department of the Air Force",2700069.34
"ASTURIAN GROUP INC","Department of Defense","Department of the Navy",41000439.3
"ASTURIAN GROUP INC","Department of the Interior","National Park Service",8029167
"ASURANSI JASA INDONESIA PERSERO PT","Department of State","Department of State",1897235.08
"ASY CO LTD","Department of Defense","Department of the Air Force",1774840.46
"ASYMMETRIC TECHNOLOGIES LLC","Department of Homeland Security","Office of the Under Secretary for Science and Technology",1893078.24
"ASYNC-NU MICROSYSTEMS","Department of Agriculture","Office of the Inspector General",1128848.88
"ASYNC-NU MICROSYSTEMS","Department of State","Department of State",5584203.04
"ASYNCHRONY SOLUTIONS INC","Department of Defense","Defense Threat Reduction Agency",7686388.26
"AT KEARNEY PUBLIC SECTOR AND DEFENSE SERVICES LLC","Department of Defense","Department of the Army",2792923.76
"AT KEARNEY PUBLIC SECTOR AND DEFENSE SERVICES LLC","Department of Defense","Department of the Navy",15293649
"AT STILL UNIVERSITY OF HEALTH SCIENCES INC","Department of Defense","Department of the Navy",2938540.09
"AT YOUR SERVICE HEATING & COOLING LLC","General Services Administration","Public Buildings Service",4288534.45
"AT-AMS LLC","General Services Administration","Public Buildings Service",19136400
"AT&T CORP","Broadcasting Board of Governors","Broadcasting Board of Governors",1564258.5
"AT&T CORP","Department of Defense","Defense Contract Management Agency",6642062.63
"AT&T CORP","Department of Defense","Defense Health Agency",7209386.58
"AT&T CORP","Department of Defense","Defense Logistics Agency",24361792.93
"AT&T CORP","Department of Defense","Defense Security Service",6280426
"AT&T CORP","Department of Defense","Missile Defense Agency",1702542.57
"AT&T CORP","Department of Defense","U.S. Special Operations Command",2773952.27
"AT&T CORP","Department of Education","Department of Education",4000600.64
"AT&T CORP","Department of Energy","Department of Energy",2291207.12
"AT&T CORP","Department of Health and Human Services","National Institutes of Health",2566632.65
"AT&T CORP","Department of Homeland Security","Federal Emergency Management Agency",49719393.42
"AT&T CORP","Department of Homeland Security","U.S. Secret Service",2190735.67
"AT&T CORP","Department of Housing and Urban Development","Department of Housing and Urban Development",38069263.77
"AT&T CORP","Department of Justice","Offices, Boards and Divisions",3743149.59
"AT&T CORP","Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",1315059.38
"AT&T CORP","Department of the Interior","Departmental Offices",4137457.38
"AT&T CORP","Department of the Treasury","Departmental Offices",3269804.52
"AT&T CORP","Department of the Treasury","Internal Revenue Service",143881970.31
"AT&T CORP","Department of Transportation","Federal Highway Administration",7576503.77
"AT&T CORP","Department of Veterans Affairs","Department of Veterans Affairs",258168682.42
"AT&T CORP","Environmental Protection Agency","Environmental Protection Agency",5391593.13
"AT&T CORP","Executive Office of the President","Executive Office of the President",2398835.02
"AT&T CORP","Federal Communications Commission","Federal Communications Commission",2839212.8
"AT&T CORP","Federal Trade Commission","Federal Trade Commission",7602113.02
"AT&T CORP","General Services Administration","Federal Acquisition Service",1744907.11
"AT&T CORP","National Labor Relations Board","National Labor Relations Board",3119310.26
"AT&T CORP","Pension Benefit Guaranty Corporation","Pension Benefit Guaranty Corporation",1064887.86
"AT&T CORP","Railroad Retirement Board","Railroad Retirement Board",1916983.64
"AT&T CORP","Social Security Administration","Social Security Administration",3073047.97
"AT&T GOVERNMENT SOLUTIONS INC","Department of Defense","Washington Headquarters Services",32502587.13
"AT&T MOBILITY LLC","Commodity Futures Trading Commission","Commodity Futures Trading Commission",1065498.77
"AT&T MOBILITY LLC","Department of Commerce","U.S. Census Bureau",6446558.34
"AT&T MOBILITY LLC","Department of Defense","Defense Commissary Agency",2123165.37
"AT&T MOBILITY LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",18093586.1
"AT&T MOBILITY LLC","Department of Health and Human Services","Centers for Medicare and Medicaid Services",1215753.91
"AT&T MOBILITY LLC","Department of Homeland Security","U.S. Customs and Border Protection",10694078.12
"AT&T MOBILITY LLC","General Services Administration","Office of the Chief Information Officer",18102989.88
"AT&T MOBILITY LLC","Securities and Exchange Commission","Securities and Exchange Commission",11904768
"AT&T MOBILITY LLC","Small Business Administration","Small Business Administration",2358477.63
"ATA DEFENSE INDUSTRIES LLC","Department of Defense","U.S. Special Operations Command",1252835.69
"ATA ENGINEERING INC","Department of Defense","Department of the Air Force",4787760.88
"ATA ENGINEERING INC","Department of Defense","Department of the Army",1736730.91
"ATA ENGINEERING INC","Department of Defense","Department of the Navy",2421379
"ATA ENGINEERING INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",1294129.43
"ATAC","Department of Transportation","Federal Aviation Administration",20073177.75
"ATAC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",1749290
"ATAMIR - WSMR LLC","Department of Defense","Department of the Army",138655497.3
"ATAP INC","Department of Defense","Department of the Air Force",25345450.75
"ATAP INC","Department of Defense","Department of the Navy",20949277.3
"ATCS PLC","Department of Homeland Security","Federal Emergency Management Agency",9251884.37
"ATD CAPITOL LLC","Department of Defense","Defense Logistics Agency",19138544.86
"ATD CAPITOL LLC","Department of Defense","Department of the Navy",43607574.44
"ATDI GOVERNMENT SERVICES LLC","Department of the Interior","Departmental Offices",1428996.84
"ATEC INC","Department of Defense","Defense Logistics Agency",1051143.1
"ATEC INC","Department of Defense","Department of the Air Force",27806865.87
"ATH SOLUTIONS INC","Department of Homeland Security","Office of the Under Secretary for Science and Technology",3548943.4
"ATHEEB INTERGRAPH SAUDI COMPA NY","Department of Defense","Department of the Air Force",6213758.12
"ATHENA CONSTRUCTION GROUP INC","Department of Defense","Department of the Army",1297360.92
"ATHENA CONSTRUCTION GROUP INC","Department of Defense","Washington Headquarters Services",2633252
"ATHENA CONSTRUCTION GROUP INC","Department of Veterans Affairs","Department of Veterans Affairs",5374600.97
"ATHENA DIAGNOSTICS INC","Department of Health and Human Services","National Institutes of Health",1977629.64
"ATHENA DIAGNOSTICS INC","Department of Justice","Federal Prison System / Bureau of Prisons",8412223.9
"ATHENA GROUP INC THE","Department of Defense","Missile Defense Agency",1099870
"ATHENA GTX INC","Department of Defense","Department of the Navy",9097687
"ATHENA MIDDLESEX LLC","Department of Veterans Affairs","Department of Veterans Affairs",2450973.12
"ATHENA ORCHARD VIEW LLC","Department of Veterans Affairs","Department of Veterans Affairs",1759863.35
"ATHENA TECHNOLOGIES INCORPORATED","Department of Defense","Defense Advanced Research Projects Agency",53455510.14
"ATHENA TECHNOLOGY GROUP INC","Department of Defense","Defense Information Systems Agency",2820385.78
"ATHENA TECHNOLOGY GROUP INC","Department of Defense","Department of the Air Force",4028300.12
"ATHENA TECHNOLOGY GROUP INC","Department of Defense","Department of the Army",2771477
"ATHENS BUILDING CORPORATION","Department of Defense","Department of the Army",1929665.8
"ATHENS TECHNICAL SPECIALISTS INC","Department of Homeland Security","Office of the Chief Procurement Officer",1053291.61
"ATHENS TECHNICAL SPECIALISTS INC","Department of Homeland Security","U.S. Customs and Border Protection",4980611.66
"ATHENS-CLARKE COUNTY UNIFIED GOVERNMENT OF","Department of Defense","Defense Logistics Agency",63005092.55
"ATI ENGINEERING SERVICES LLC","Department of Defense","Department of the Navy",1097564
"ATI FLOWFORM PRODUCTS LLC","Department of Defense","Department of the Navy",1482178.29
"ATI INC","Department of Defense","Department of the Air Force",3314665.63
"ATI INC","Department of Energy","Department of Energy",1455184.32
"ATI INC","Department of State","Department of State",2364116.65
"ATI INC","Department of Transportation","Federal Highway Administration",4515493.12
"ATIL COBRA SA","Department of Defense","Department of the Air Force",21198646.94
"ATK SPORTING GROUP LLC","Department of Homeland Security","Office of the Chief Procurement Officer",53856300.03
"ATKINS - MOCA JOINT VENTURE","Department of Defense","Department of the Army",6167656.67
"ATKINS ENERGY FEDERAL EPC INC","Department of Energy","Department of Energy",1691721.97
"ATKINS NORTH AMERICA INC","Department of Defense","Department of the Air Force",10193603.82
"ATKINS NORTH AMERICA INC","Department of Defense","Department of the Army",19022117.82
"ATKINS NORTH AMERICA INC","Department of the Interior","National Park Service",1812300.46
"ATKINS-KCI A JOINT VENTURE","Department of Transportation","Federal Highway Administration",1304213.12
"ATKINS-OBG JOINT VENTURE","Department of Defense","Department of the Army",7663935
"ATKINS-UC JOINT VENTURE","Department of Defense","Department of the Army",1900212.5
"ATKINSON TREND A JOINT VENTURE","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1429329
"ATLANTA BIOLOGICALS INC","Department of Health and Human Services","National Institutes of Health",34469364.55
"ATLANTA CITY OF","Department of Justice","Federal Prison System / Bureau of Prisons",3406016.44
"ATLANTA GAS LIGHT COMPANY","Department of Defense","Department of the Army",1061684.16
"ATLANTIC AVIATION OKLAHOMA CITY INC","Department of Defense","Defense Logistics Agency",1835828472.09
"ATLANTIC AVIATION-ORLANDO LLC","Department of Defense","Defense Logistics Agency",1673461261.94
"ATLANTIC COMMTECH CORPORATION","Department of Defense","Department of the Air Force",137411566.32
"ATLANTIC COMMTECH CORPORATION","Department of Defense","Department of the Army",1507166.67
"ATLANTIC COMMTECH CORPORATION","Department of Homeland Security","U.S. Coast Guard",6718845.51
"ATLANTIC COMMTECH CORPORATION","Department of Veterans Affairs","Department of Veterans Affairs",5152159.47
"ATLANTIC CONTRACTING & MATERIAL CO INC","Department of Defense","Department of the Air Force",10984800
"ATLANTIC CONTRACTING & MATERIAL CO INC","Department of Defense","Department of the Navy",13990326.72
"ATLANTIC DIVING SUPPLY INC","Department of Defense","Defense Logistics Agency",9867304385.92
"ATLANTIC DIVING SUPPLY INC","Department of Defense","Department of Defense",9450547.44
"ATLANTIC DIVING SUPPLY INC","Department of Defense","Department of the Air Force",44894454.23
"ATLANTIC DIVING SUPPLY INC","Department of Defense","Department of the Army",116944254.58
"ATLANTIC DIVING SUPPLY INC","Department of Defense","Department of the Navy",79255311.66
"ATLANTIC DIVING SUPPLY INC","Department of Defense","U.S. Special Operations Command",4478665.28
"ATLANTIC DIVING SUPPLY INC","Department of Energy","Department of Energy",4296763.33
"ATLANTIC DIVING SUPPLY INC","Department of Homeland Security","Office of the Chief Procurement Officer",35414918.52
"ATLANTIC DIVING SUPPLY INC","Department of Homeland Security","U.S. Coast Guard",2451593.65
"ATLANTIC DIVING SUPPLY INC","Department of Homeland Security","U.S. Customs and Border Protection",10641629.93
"ATLANTIC DIVING SUPPLY INC","Department of Homeland Security","U.S. Immigration and Customs Enforcement",2435860.35
"ATLANTIC DIVING SUPPLY INC","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",1044333.33
"ATLANTIC DIVING SUPPLY INC","Department of Justice","Federal Bureau of Investigation",3762877.12
"ATLANTIC DIVING SUPPLY INC","Department of Justice","U.S. Marshals Service",7800430.89
"ATLANTIC DIVING SUPPLY INC","Department of State","Department of State",1746325.65
"ATLANTIC ENGINEERING & CONSTR UCTION COMPANY INC","Agency for International Development","Agency for International Development",1545021.45
"ATLANTIC GROUP LLC THE","Department of Agriculture","Forest Service",1731023.13
"ATLANTIC GROUP LLC THE","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3483971
"ATLANTIC GROUP LLC THE","Department of the Interior","U.S. Geological Survey",2876799.25
"ATLANTIC HOIST & CRANE INC","Department of Defense","Department of the Army",1044486.61
"ATLANTIC ICON CORP","Department of Defense","Defense Logistics Agency",2046291.39
"ATLANTIC ICON CORP","Department of Defense","Department of the Air Force",3520191.3
"ATLANTIC ICON CORP","Department of Defense","Department of the Army",3916558.11
"ATLANTIC ICON CORP","Department of Defense","Department of the Navy",7069819.66
"ATLANTIC LIFT SYSTEMS INC","Department of Defense","Department of the Navy",29887485.86
"ATLANTIC MACHINERY INC","Department of Defense","Defense Logistics Agency",4905968.47
"ATLANTIC MANAGEMENT CENTER INC","Department of Defense","Department of the Navy",1176991.72
"ATLANTIC NICC JV LLC","Department of Defense","Department of the Air Force",23556356.3
"ATLANTIC NICC JV LLC","Department of Defense","Department of the Navy",456894616.06
"ATLANTIC RESEARCH MARKETING SYSTEMS INC","Department of Defense","Defense Logistics Agency",18682562.1
"ATLANTIC SIGNAL LLC","Department of Defense","Department of the Army",3378737.5
"ATLANTIC SYSTEMS GROUP INC","Department of Defense","Department of Defense",1500000
"ATLANTIC VALVE & SUPPLY INC","Department of Homeland Security","U.S. Coast Guard",1187492.6
"ATLANTIS HEALTH CARE GROUP PUERTO RICO INC","Department of Veterans Affairs","Department of Veterans Affairs",1185695.16
"ATLAS AIR INC","Department of Defense","Department of Defense",22049139.29
"ATLAS AIR INC","Department of Defense","Department of the Air Force",9969863.71
"ATLAS CONTAINER CORPORATION","Department of Health and Human Services","National Institutes of Health",2376670.01
"ATLAS COPCO COMPTEC LLC","Department of Defense","Department of the Air Force",2325254
"ATLAS ELEKTRONIK UK LTD","Department of Defense","Department of the Navy",38196946.97
"ATLAS EXCAVATING INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3576712
"ATLAS EXECUTIVE CONSULTING LLC","Department of Defense","Department of the Navy",16360384.4
"ATLAS GROUP LTD","Department of Homeland Security","Office of the Chief Procurement Officer",1489444
"ATLAS GROUP LTD","Department of Justice","Office of Justice Programs",7627064.6
"ATLAS NORTH AMERICA LLC","Department of Defense","Department of the Army",22523551.47
"ATLAS OIL COMPANY","Department of Defense","Defense Logistics Agency",52354623.45
"ATLAS PAINTING AND SHEETING CORP","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1810205
"ATLAS POLAR COMPANY LIMITED","Department of the Interior","Bureau of Reclamation",1024716.66
"ATLAS RESEARCH LLC","Department of Health and Human Services","Health Resources and Services Administration",1155382.56
"ATLAS RESEARCH LLC","Department of Health and Human Services","Office of the Assistant Secretary for Administration",8837108.75
"ATLAS RESEARCH LLC","Department of Veterans Affairs","Department of Veterans Affairs",107970305.98
"ATLAS RESEARCH LLC","National Science Foundation","National Science Foundation",1742319
"ATLAS TECHNOLOGIES INC","Department of Defense","Department of the Navy",11174412.75
"ATMOS ENERGY CORPORATION","Department of Justice","Federal Prison System / Bureau of Prisons",1065405.21
"ATMOS ENERGY MARKETING LLC","Department of Defense","Department of the Army",147532024.68
"ATMOS ENERGY MARKETING LLC","Department of Energy","Department of Energy",5656833.11
"ATMOS ENERGY MARKETING LLC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",4055840.78
"ATMOSPHERIC AND ENVIRONMENTAL RESEARCH INC","Department of Defense","Department of the Air Force",11784791.19
"ATMOSPHERIC AND ENVIRONMENTAL RESEARCH INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",2658720
"ATMOSPHERIC SCIENCE TECHNOLOGY LLC","Department of Defense","Department of the Air Force",1656325.19
"ATMOSPHERIC SCIENCE TECHNOLOGY LLC","Department of Defense","Department of the Army",4555753.01
"ATMOSPHERIC TECHNOLOGY SERVICES COMPANY LIMITED LIABILITY COMPANY","Department of Defense","Department of the Army",23500510.33
"ATMOSPHERIC TECHNOLOGY SERVICES COMPANY LLC","Department of Defense","Department of the Air Force",5240513.05
"ATMOSPHERIC TECHNOLOGY SERVICES COMPANY LLC","Department of Defense","Department of the Navy",6926739.26
"ATMOSPHERIC TECHNOLOGY SERVICES COMPANY LLC","Department of Transportation","Federal Aviation Administration",1939751.45
"ATOX BIO LTD","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",17405600
"ATP2 LLC","Department of Defense","Department of the Navy",1114335.76
"ATP2 LLC","Department of Veterans Affairs","Department of Veterans Affairs",1572568.64
"ATRIAX PLLC","Department of Veterans Affairs","Department of Veterans Affairs",4656114.27
"ATRIUM HOTELS LP","Department of Commerce","National Oceanic and Atmospheric Administration",1904541.31
"ATRIUM HOTELS LP","Department of Defense","Department of the Army",1400181.91
"ATRIUM HOTELS LP","Department of Veterans Affairs","Department of Veterans Affairs",1533727.06
"ATS GROUP LLC","Department of Defense","Department of the Army",4972264.06
"ATTA AL-FIRDOWS COMPANY","Department of Defense","Department of the Army",1007025.03
"ATTAIN LLC","Department of Agriculture","Farm Service Agency",5639104.47
"ATTAIN LLC","Department of Commerce","Office of the Secretary",4675608.42
"ATTAIN LLC","Department of Commerce","U.S. Census Bureau",1278151.45
"ATTAIN LLC","Department of Defense","Defense Health Agency",30415739.35
"ATTAIN LLC","Department of Defense","Department of the Army",17520648.85
"ATTAIN LLC","Department of Health and Human Services","National Institutes of Health",11445884.38
"ATTAIN LLC","Department of Health and Human Services","Office of Assistant Secretary for Public Affairs",15323632.92
"ATTAIN LLC","Environmental Protection Agency","Environmental Protection Agency",27134650.8
"ATTAIN LLC","Executive Office of the President","Executive Office of the President",1059983.62
"ATTAIN LLC","International Trade Commission","International Trade Commission",1559482.78
"ATTAIN LLC","National Archives and Records Administration","National Archives and Records Administration",49217816.61
"ATTAIN LLC","Securities and Exchange Commission","Securities and Exchange Commission",55579942.32
"ATTAIN LLC","Smithsonian Institution","Smithsonian Institution",6856491.01
"ATTAINIA INC","Department of Veterans Affairs","Department of Veterans Affairs",1112522.25
"ATTAINX INC","Department of Agriculture","Farm Service Agency",2099884.8
"ATTAWAY CONSTRUCTION & ASSOCIATES LLC","Department of Defense","Department of the Army",1211266
"ATTELOIR INCORPORATED","Department of Homeland Security","Office of the Chief Procurement Officer",4638500.27
"ATTIVASOFT LLC","Department of Commerce","U.S. Census Bureau",3960882.3
"ATTOLLO ENGINEERING LLC","Department of Defense","Department of the Air Force",2692522.55
"ATTOP INTERNATIONAL LLC","Department of Defense","Department of the Army",27721136.06
"ATTORNEY GENERAL ARIZONA","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission",8356865.6
"ATTORNEY GENERAL HAWAII DEPARTMENT OF THE","Department of Defense","Department of the Army",1541797.65
"ATW CONSTRUCTION INC","Department of Defense","Department of the Army",1515308
"ATWATER CITY OF","Department of Justice","Federal Prison System / Bureau of Prisons",1307662.4
"ATWOOD HAY INCORPORATED","Department of Defense","Department of the Army",5078878
"AU AUTHUM KI INC","Department of Defense","Department of the Army",4229464.83
"AUBURN MEMORIAL HOSPITAL","Department of Veterans Affairs","Department of Veterans Affairs",1859808.52
"AUBURN UNIVERSITY","Department of Defense","Department of the Army",3006435.97
"AUBURN UNIVERSITY","Department of Defense","Department of the Navy",1880737.6
"AUBURN UNIVERSITY","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",6928115.89
"AUCOIN & ASSOCIATES INC","Department of Agriculture","Natural Resources Conservation Service",1348875.98
"AUCTION EXCHANGE INC","General Services Administration","Federal Acquisition Service",1789745.54
"AUDACIOUS INQUIRY LLC","Department of Health and Human Services","Office of the Assistant Secretary for Administration",6478283.15
"AUDIO VISUAL INNOVATIONS INC","Department of Education","Department of Education",1513356.46
"AUDIO VISUAL INNOVATIONS INC","Department of Health and Human Services","Centers for Disease Control and Prevention",4357183.96
"AUDIO VISUAL INNOVATIONS INC","Department of Health and Human Services","National Institutes of Health",6820236.28
"AUDIO VISUAL INNOVATIONS INC","Environmental Protection Agency","Environmental Protection Agency",1043515.85
"AUDSOFT INC","Department of Defense","Department of the Air Force",1085094.92
"AUFZUGSWERKE M SCHMITT & SOHN GMBH & CO","Department of Defense","Department of the Air Force",46616204.34
"AUGUST SCHELL ENTERPRISES INC","Department of Defense","Defense Information Systems Agency",15171942.1
"AUGUST SCHELL ENTERPRISES INC","Department of Defense","Department of Defense",7579277.3
"AUGUSTA ENGINE PARTS INC","Department of Defense","Department of the Army",1350158.78
"AUGUSTA RICHMOND COUNTY OF","Department of Defense","Department of the Army",106048989.29
"AUGUSTINE CONSULTING INC","Department of Defense","Department of the Army",26477258.1
"AULII CONSTRUCTION INC","Department of Defense","Department of the Army",1727378.87
"AUNT KITTYS FOODS INC","Department of Agriculture","Agricultural Marketing Service",2344630.08
"AUNT KITTYS FOODS INC","Department of Agriculture","Food and Nutrition Service",4436236
"AURELIUS GROUP LLC","Department of Justice","Offices, Boards and Divisions",2809506.24
"AUREUS MEDICAL MANAGEMENT SERVICES LIMITED LIABILITY COMPANY","Department of Health and Human Services","Indian Health Service",8906534.54
"AUREUS MEDICAL MANAGEMENT SERVICES LIMITED LIABILITY COMPANY","Department of Veterans Affairs","Department of Veterans Affairs",5006601.38
"AURIDENT INC","Department of Veterans Affairs","Department of Veterans Affairs",1191368.9
"AURO ENTERPRISES","Department of Defense","Defense Logistics Agency",77666343.73
"AURORA COMPREHENSIVE COMMUNITY MENTAL HEALTH CENTER INC","Department of Veterans Affairs","Department of Veterans Affairs",1180971.37
"AURORA FLIGHT SCIENCES CORPORATION","Department of Defense","Defense Advanced Research Projects Agency",115791342
"AURORA FLIGHT SCIENCES CORPORATION","Department of Defense","Department of the Air Force",97819482.6
"AURORA FLIGHT SCIENCES CORPORATION","Department of Defense","Department of the Navy",95381149
"AURORA FLIGHT SCIENCES CORPORATION","National Aeronautics and Space Administration","National Aeronautics and Space Administration",19326444
"AURORA INDUSTRIES LLC","Department of Defense","Defense Logistics Agency",39168659.97
"AURORA INDUSTRIES LLC","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",2094069.83
"AURORA OF CENTRAL NEW YORK INC","Department of Veterans Affairs","Department of Veterans Affairs",1810699.48
"AURORA STARCO COMPANY LLC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",2530005.73
"AURORA SYSTEMS CONSULTING INC","Department of Defense","Department of the Air Force",4294219.91
"AUROTECH INC","Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",4099562.68
"AUROTECH INC","Department of Health and Human Services","Food and Drug Administration",16859392.8
"AUROTECH INC","Federal Trade Commission","Federal Trade Commission",7687074.04
"AUROTECH INC","Small Business Administration","Small Business Administration",2974774.1
"AUROTECH INCORPORATED","Social Security Administration","Social Security Administration",4938658.54
"AURUM AQUILA","Department of Defense","Defense Logistics Agency",1381250.19
"AUS MARKETING RESEARCH SYSTEMS INC","Department of Health and Human Services","Centers for Disease Control and Prevention",5967689.66
"AUSGAR TECHNOLOGIES INC","Department of Defense","Department of the Navy",119720662.65
"AUSLAND BUILDERS INC","Department of the Interior","Bureau of Land Management",3093628.7
"AUSLEY ASSOCIATES INC","Department of Defense","Department of the Navy",8874297.51
"AUSTAL USA LIMITED LIABILITY COMPANY","Department of Defense","Department of the Navy",2103880032.92
"AUSTIN BROCKENBROUGH & ASSOC LLP","Department of Defense","Defense Logistics Agency",3444966.04
"AUSTIN BROCKENBROUGH ASSOCIATES LLP","Department of Defense","Department of the Navy",5614658.67
"AUSTIN CITY OF","Department of the Treasury","Internal Revenue Service",5496418.7
"AUSTIN CITY OF","General Services Administration","Public Buildings Service",1962053.66
"AUSTIN GROUP LLC THE","Department of Justice","Offices, Boards and Divisions",6820595.28
"AUSTIN J E ASSOCIATES INC","Agency for International Development","Agency for International Development",1171148
"AUSTIN TASK INC","Department of the Treasury","Internal Revenue Service",2921833.63
"AUSTIN TELE-SERVICES PARTNERS LP","Department of Defense","Department of the Army",2585563.42
"AUSTIN WELDER & GENERATOR SERVICE INC","Department of Veterans Affairs","Department of Veterans Affairs",7942044.56
"AUTHENTIX INC","Department of the Treasury","Bureau of Engraving and Printing",1171300
"AUTO-VALVE INC","Department of Defense","Defense Logistics Agency",1176864.59
"AUTOBUSES DE PUERTO RICO SJ INC","Department of Veterans Affairs","Department of Veterans Affairs",1281292.44
"AUTOCARES RICO SA","Department of Defense","Department of Defense Education Activity",1094512.22
"AUTOCLEAR LLC","Department of Defense","Department of the Navy",1358669.21
"AUTODESK INC","Department of Defense","Department of the Air Force",1220728
"AUTODYNE MANUFACTURING CO INC","Department of Defense","Defense Logistics Agency",1055015.26
"AUTOFLEX INC","Department of Defense","Department of the Army",1826001.22
"AUTOFLEX INC","Department of Defense","Department of the Navy",1106481.58
"AUTOFLUG SAFETY SYSTEMS INC","Department of Defense","Department of the Army",2561922.27
"AUTOIMMUNE TECHNOLOGIES LLC","Department of Health and Human Services","National Institutes of Health",14967446
"AUTOMATED BUSINESS POWER INC LLC","Department of Defense","Defense Logistics Agency",1370951.64
"AUTOMATED ENVIRONMENTS INC","Social Security Administration","Social Security Administration",1519254.94
"AUTOMATED LOGIC CORPORATION","Department of Justice","Federal Prison System / Bureau of Prisons",115704893
"AUTOMATED PRECISION INC","Department of Defense","Department of the Air Force",1499860.24
"AUTOMATION ALLEY","Department of Defense","Department of the Army",5615672.47
"AUTOMATION PRECISION TECHNOLOGY INCORPORATED","Department of Defense","Department of the Navy",74897379.22
"AUTOMATION TECHNOLOGIES INC","Department of Homeland Security","Office of the Chief Procurement Officer",22173358.75
"AUTOMOTIVE & INDUSTRIAL SUPPLY COMPANY","Department of Defense","Department of the Air Force",392099473.52
"AUTOMOTIVE MANAGEMENT SERVICES FZE","Department of Defense","Department of the Army",738153867.5
"AUTONOMOUS SOLUTIONS INC","Department of Defense","Department of the Army",2733560.16
"AUTOPARTSPROS LLC","Department of Defense","Department of the Navy",3704835.36
"AUTOTRANSPORTE TURISTICO ESPANOL SA","Department of Defense","Department of the Navy",29339421.89
"AUTUMN CONTRACTING INC","Corporation for National and Community Service","Corporation for National and Community Service",3708081.27
"AUTUMN CONTRACTING INC","Department of Commerce","National Institute of Standards and Technology",4089995.46
"AUTUMN CORP","Department of Veterans Affairs","Department of Veterans Affairs",1317100
"AUXILIALL JOINT VENTURE LLC","Department of Defense","Department of the Army",4810125.24
"AUXILIARY SYSTEMS INC","Department of Defense","Department of the Navy",1077966.75
"AUXILIARY SYSTEMS INC","Department of Homeland Security","U.S. Coast Guard",3724723.48
"AUXILIO MANAGEMENT SERVICES","Department of Commerce","National Institute of Standards and Technology",2299819.56
"AUXILIO MANAGEMENT SERVICES","Department of Defense","Department of the Army",5345037.47
"AUXILIO MANAGEMENT SERVICES","Department of the Interior","U.S. Geological Survey",1141964.07
"AV TRONICS INC","National Labor Relations Board","National Labor Relations Board",1508853.79
"AV3 INC","Department of Defense","Department of the Navy",1184023.16
"AVAILITY LLC","Department of Veterans Affairs","Department of Veterans Affairs",91138297.34
"AVALEX TECHNOLOGIES CORPORATION","Department of Defense","Department of the Air Force",1224433.92
"AVALON BUSINESS ENGINEERING SERVICES LLC","Department of Defense","Department of the Air Force",1201030.16
"AVALON CONTRACTING INC","Department of Defense","Department of the Army",7288771.54
"AVALON TECHNOLOGY INC","Department of Homeland Security","Office of the Chief Procurement Officer",1522723.8
"AVANCE IT SOLUTIONS LLC","Department of Defense","Department of the Navy",2248603.87
"AVANCE IT SOLUTIONS LLC","General Services Administration","Public Buildings Service",1593157
"AVANCO INTERNATIONAL INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1770633.83
