COC_Number,COC_Name,amount
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",2044652.21
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,3158727.89
IL-509,Dekalb City & County CoC,547270.61
IL-510,Chicago CoC,74142876.2
IL-511,Cook County CoC,9767177.75
IL-512,Bloomington/Central Illinois CoC,3301151.35
IL-513,Springfield/Sangamon County CoC,602439
IL-514,DuPage County CoC,2865854.71
IL-515,South Central Illinois CoC,902088
IL-516,Decatur/Macon County CoC,852549.03
IL-517,Aurora/Elgin/Kane County CoC,1728794.79
IL-518,Rock Island/Moline/Northwestern Illinois CoC,1044127.26
IL-519,West Central Illinois CoC,633699
IL-520,Southern Illinois CoC,615623.62
IN-502,Indiana Balance of State CoC,10729488.92
IN-503,Indianapolis CoC,12624782.12
KS-502,Wichita/Sedgwick County CoC,2795012.63
KS-503,Topeka/Shawnee County CoC,3340702.62
KS-505,Overland Park/Shawnee/Johnson County CoC,325899.83
KS-507,Kansas Balance of State CoC,2178952.79
KY-500,Kentucky Balance of State CoC,10627236.24
KY-501,Louisville/Jefferson County CoC,12989370.73
KY-502,Lexington/Fayette County CoC,2772925
LA-500,Lafayette/Acadiana CoC,2337462
LA-502,Shreveport/Bossier/Northwest CoC,4607222.91
LA-503,New Orleans/Jefferson Parish CoC,23543089.8
LA-505,Monroe/Northeast Louisiana CoC,2404157
LA-506,Slidell/Southeast Louisiana CoC,1380088.93
LA-507,Alexandria/Central Louisiana CoC,419147.31
LA-508,Houma-Terrebonne/Thibodaux CoC,1063471.97
LA-509,Louisiana Balance of State,542042
LA-509,Louisiana Balance of State CoC,17780994.34
MA-500,Boston CoC,39594904.67
MA-502,Lynn CoC,1544470.93
MA-503,Cape Cod/Islands CoC,840500.05
MA-504,Springfield/Hampden County CoC,3562316.25
MA-505,New Bedford CoC,2362484
MA-506,Worcester City & County CoC,8388795.06
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire County CoC",4037209
MA-508,Lowell CoC,833056
MA-509,Cambridge CoC,4238876.69
